genus,nf,otu_count,priority_score
Sulfophobococcus,inf,14,10.73
Methanothrix,7.935,246,6.44
Ignisphaera,11.75,47,5.53
Methanospirillum,9.667,58,5.49
Methanosphaera,6.5,104,5.47
Methanobrevibacter,3.94,197,5.26
Methanoregula,4.19,88,4.78
Halonotius,5.778,52,4.78
Haloquadratum,8.667,26,4.68
Methanocella,5.429,38,4.48
Thermofilum,5.125,41,4.47
Aeropyrum,7.667,23,4.45
Halapricum,5.8,29,4.34
Methanomicrobium,6.25,25,4.31
Nanoarchaeum,8.5,17,4.3
Pyrobaculum,3.667,44,4.14
Methanotorris,7.5,15,4.08
Methanolinea,3.125,50,4.03
Halomicrobium,3.667,33,3.94
Nitrosarchaeum,4.6,23,3.93
Natronomonas,3.0,42,3.87
Haloparvum,5.333,16,3.81
Methanosarcina,1.75,105,3.76
Methanocaldococcus,2.846,37,3.73
Haloterrigena,3.571,25,3.72
Halolamina,2.9,29,3.6
Staphylothermus,4.667,14,3.58
Halorubrum,1.347,132,3.52
Ferroplasma,3.75,15,3.43
Fervidicoccus,5.0,10,3.4
Halovenus,2.667,24,3.39
Thermogladius,3.5,14,3.31
Natronobacterium,3.5,14,3.31
Methanobacterium,1.241,103,3.3
Metallosphaera,2.4,24,3.29
Methanoculleus,1.385,72,3.26
Halococcus,2.071,29,3.24
Vulcanisaeta,1.938,31,3.21
Methanocalculus,2.2,22,3.14
Aciduliprofundum,2.8,14,3.11
Halorussus,1.619,34,3.06
Caldisphaera,4.0,8,3.05
Ferroglobus,4.0,8,3.05
Acidilobus,2.111,19,3.02
Methanocorpusculum,1.786,25,3.0
Methanimicrococcus,2.125,17,2.96
Salinarchaeum,2.333,14,2.94
Methanogenium,2.333,14,2.94
Halomarina,2.143,15,2.9
Desulfurococcus,3.0,9,2.89
Halobiforma,5.0,5,2.89
Halohasta,2.5,10,2.8
Halopiger,2.2,11,2.74
Methanococcus,2.0,12,2.71
Halobellus,1.3,26,2.69
Halosimplex,1.462,19,2.65
Halorubellus,2.25,9,2.64
Thermodiscus,3.0,6,2.63
Natronolimnobius,3.0,6,2.63
Haloplanus,1.312,21,2.6
Halobacterium,1.19,25,2.58
Saccharolobus,1.714,12,2.57
Methanolobus,1.12,28,2.57
Halorientalis,1.4,14,2.46
Methanomethylovorans,1.8,9,2.45
Salinigranum,1.667,10,2.44
Methanococcoides,1.214,17,2.42
Natronorubrum,1.133,17,2.35
Halarchaeum,1.375,11,2.32
Geoglobus,1.6,8,2.29
Natronoarchaeum,1.6,8,2.29
Thermoproteus,1.25,10,2.19
Halogeometricum,1.25,10,2.19
Methanothermus,3.0,3,2.18
Cuniculiplasma,1.5,6,2.09
Thermocladium,1.5,6,2.09
Pyrodictium,1.5,6,2.09
Thermoplasma,1.5,6,2.09
Halodesulfurarchaeum,1.667,5,2.08
Palaeococcus,1.667,5,2.08
Halogranum,1.667,5,2.08
Halovivax,1.167,7,1.97
Halanaeroarchaeum,1.333,4,1.8
Sulfurisphaera,1.333,4,1.8
Salinirussus,1.5,3,1.74
Methermicoccus,1.5,3,1.74
Halobium,1.5,3,1.74
Salinirubrum,2.0,2,1.69
